	GName	Class	MF	Mass	HMDB	KEGG	PC	Nam2
	(4S)-7-Hydroxy-4-isopropenyl-7-methyl-2-oxo-oxepanone;;(4S)-7-Hydroxy-4-isopropenyl-7-methyloxepan-2-one	todo2	C10H16O3	184.109944	NA	C19084	25201520	(4S)-7-Hydroxy-4-isopropenyl-7-methyl-2-oxo-oxepanone
	dTTP	Nucleotides	C10H17N2O14P3	481.989263	HMDB01342	C00459	64968	dTTP
	2-Deoxy-5-hydroxymethylcytidine-5-diphosphate	todo2	C10H17N3O11P2	417.033832	NA	C11038	443051	2-Deoxy-5-hydroxymethylcytidine-5-diphosphate
	Linatine;;N-(gamma-L-Glutamyl)amino-D-proline	todo2	C10H17N3O5	259.116821	HMDB38516	C05939	160920	Linatine
	Gamma-glutamylglutamine	Peptides	C10H17N3O6	275.111735	HMDB11738	C05283	150914	Gamma-glutamylglutamine
	Glutathione	"Amino acids"	C10H17N3O6S	307.083806	HMDB00125	C00051	124886	Glutathione
	"Adenosine tetraphosphate;;Adenosine 5-tetraphosphate"	todo2	C10H17N5O16P4	586.962076	HMDB01364	C03483	14003	"Adenosine tetraphosphate"
	"Guanosine 3,5-bis(diphosphate);;Guanosine 3-diphosphate 5-diphosphate;;Guanosine 5-diphosphate,3-diphosphate"	todo2	C10H17N5O17P4	602.956991	NA	C01228	439450	"Guanosine tetraphosphate"
x	Acetyltropine;;3-Acetyltropine	todo2	C10H17NO2	183.125929	NA	C12452	103008	Acetyltropine
x	Acetylpseudotropine	todo2	C10H17NO2	183.125929	NA	C12453	103008	Acetyltropine
	"Ecgonine methyl ester;;Methyl ecgonine"	todo2	C10H17NO3	199.120843	HMDB06406	C12448	443844	"Ecgonine methyl ester"
	Malonylcarnitine	Lipids	C10H17NO6	247.105587	HMDB02095		22833583	Malonylcarnitine
	Linamarin;;Phaseolunatin	todo2	C10H17NO6	247.105587	HMDB33699	C01594	11128	Linamarin
	Slaframine;;(-)-Slaframine	todo2	C10H18N2O2	198.136828	NA	C06185	49787007	Slaframine
	Dethiobiotin	todo	C10H18N2O3	214.131742	HMDB03581	C01909	643	Dethiobiotin
	Gamma-glutamylvaline	Peptides	C10H18N2O5	246.121572	HMDB11172		5317736	Gamma-glutamylvaline
	2,4-Bis(acetamido)-2,4,6-trideoxy-beta-L-altropyranose	todo2	C10H18N2O5	246.121572	NA	C19972	56927717	2,4-Bis(acetamido)-2,4,6-trideoxy-beta-L-altropyranose
	2,4-Diacetamido-2,4,6-trideoxy-D-mannopyranose;;2,4-Diacetamido-2,4,6-trideoxy-alpha-D-mannopyranose	todo2	C10H18N2O5	246.121572	NA	C20424	52940203	2,4-Diacetamido-2,4,6-trideoxy-D-mannopyranose
	2-Deoxy-5-hydroxymethylcytidine-5-triphosphate	todo2	C10H18N3O14P3	497.000162	NA	C11039	443052	2-Deoxy-5-hydroxymethylcytidine-5-triphosphate
	"N2-Succinyl-L-arginine;;(2S)-2-(3-Carboxypropanoylamino)-5-(diaminomethylideneamino)pentanoic acid"	todo2	C10H18N4O5	274.12772	NA	C03296	439968	N2-Succinyl-L-arginine
	"Argininosuccinic acid"	"Amino acids"	C10H18N4O6	290.122634	HMDB00052	C03406	16950	"Argininosuccinic acid"
	"Formamidopyrimidine nucleoside triphosphate"	todo	C10H18N5O15P3	541.001225	HMDB06822	C05922	440840	"Formamidopyrimidine nucleoside triphosphate"
	"Guanosine 3-diphosphate 5-triphosphate;;Guanosine 5-triphosphate,3-diphosphate"	todo2	C10H18N5O20P5	682.923321	NA	C04494	38166	"Guanosine 3-diphosphate 5-triphosphate"
	Alpha-terpineol	Xenobiotics	C10H18O	154.135765	HMDB04043	C09902	442501	Alpha-terpineol
	(-)-Menthone;;l-Menthone;;p-Menthan-3-one	todo2	C10H18O	154.135765	HMDB35162	C00843	26447	(-)-Menthone
	Geraniol	todo2	C10H18O	154.135765	HMDB21551	C01500	637566	Geraniol
	"(-)-endo-Fenchol;;(-)-alpha-Fenchyl alcohol"	todo2	C10H18O	154.135765	HMDB21314	C02344	439711	(-)-endo-Fenchol
	"Sabinene hydrate"	todo2	C10H18O	154.135765	NA	C02462	11744854	"Sabinene hydrate"
	1,8-Cineole;;1,8-Cineol;;Eucalyptol	todo2	C10H18O	154.135765	HMDB04472	C09844	2758	1,8-Cineole
	(R)-(+)-Citronellal	todo2	C10H18O	154.135765	HMDB22277	C09848	75427	(R)-(+)-Citronellal
	Nerol;;(Z)-3,7-Dimethylocta-2,6-dien-1-ol	todo2	C10H18O	154.135765	HMDB05812	C09871	643820	Nerol
	(S)-(-)-Citronellal;;(S)-3,7-Dimethyloct-6-enal	todo2	C10H18O	154.135765	HMDB22303	C11384	443157	(S)-(-)-Citronellal
	(-)-Linalool;;(R)-(-)-Linalool;;(3R)-Linalool	todo2	C10H18O	154.135765	HMDB22591	C11388	443158	(-)-Linalool
	(+)-Linalool;;(S)-(+)-Linalool;;(3S)-Linalool	todo2	C10H18O	154.135765	HMDB36102	C11389	67179	(+)-Linalool
	(-)-alpha-Terpineol;;(L)-alpha-Terpineol	todo2	C10H18O	154.135765	HMDB36086	C11393	443162	(-)-alpha-Terpineol
	(1R,2R,4R)-Dihydrocarveol;;(-)-Dihydrocarveol	todo2	C10H18O	154.135765	HMDB22283	C11396	443163	(1R,2R,4R)-Dihydrocarveol
	(1R,2S,4R)-Neo-dihydrocarveol	todo2	C10H18O	154.135765	NA	C11397	443164	(1R,2S,4R)-Neo-dihydrocarveol
	(1S,2S,4R)-Iso-dihydrocarveol	todo2	C10H18O	154.135765	NA	C11399	443165	(1S,2S,4R)-Iso-dihydrocarveol
	(1S,2R,4R)-Neoiso-dihydrocarveol	todo2	C10H18O	154.135765	NA	C11400	443166	(1S,2R,4R)-Neoiso-dihydrocarveol
	"(1R,2S,4S)- Neoiso-dihydrocarveol"	todo2	C10H18O	154.135765	NA	C11410	443179	"(1R,2S,4S)- Neoiso-dihydrocarveol"
	(1R,2R,4S)-Iso-dihydrocarveol	todo2	C10H18O	154.135765	NA	C11411	443180	(1R,2R,4S)-Iso-dihydrocarveol
	(1S,2S,4S)-Dihydrocarveol;;(+)-Dihydrocarveol	todo2	C10H18O	154.135765	NA	C11413	89755	(1S,2S,4S)-Dihydrocarveol
	(1S,2R,4S)-Neo-dihydrocarveol	todo2	C10H18O	154.135765	NA	C11416	443184	(1S,2R,4S)-Neo-dihydrocarveol
	(+)-Isomenthone	todo2	C10H18O	154.135765	HMDB21360	C11952	70962	(+)-Isomenthone
	"Decenoic acid"	Lipids	C10H18O2	170.13068	HMDB39768;HMDB41012;HMDB04980		5312351;5362593;5362594	"Decenoic acid"
	"Methylnonenoic acid"	todo	C10H18O2	170.13068	HMDB12183	C18202	5365959	"Methylnonenoic acid"
	6-endo-Hydroxycineole;;2-endo-Hydroxy-1,8-cineole	todo2	C10H18O2	170.13068	NA	C03092	11953818	6-endo-Hydroxycineole
	(E)-3,7-Dimethylocta-1,6-diene-3,8-diol;;(6E)-8-Hydroxylinalool	todo2	C10H18O2	170.13068	NA	C04433	5280678	(E)-3,7-Dimethylocta-1,6-diene-3,8-diol
	Limonene-1,2-diol;;(1S,2S,4R)-Limonene-1,2-diol;;(1S,2S,4R)-Menth-8-ene-1,2-diol	todo2	C10H18O2	170.13068	NA	C07276	441246	Limonene-1,2-diol
	"Citronellate;;Citronellic acid;;3,7-Dimethyl-6-octenoic acid"	todo2	C10H18O2	170.13068	HMDB35837	C16462	10402	Citronellate
	(6E)-8-Hydroxygeraniol;;10-Hydroxygeraniol;;8-Hydroxygeraniol	todo2	C10H18O2	170.13068	NA	C17621	5363397	(6E)-8-Hydroxygeraniol
	(4R,7S)-7-Isopropyl-4-methyloxepan-2-one;;(4R,7S)-4-Methyl-7-(1-methylethyl)-2-Oxepanone;;Mentholactone	todo2	C10H18O2	170.13068	NA	C18027	11116489	(4R,7S)-7-Isopropyl-4-methyloxepan-2-one
	(1R,2R,4S)-Limonene-1,2-diol;;(1R,2R,4S)-Menth-8-ene-1,2-diol	todo2	C10H18O2	170.13068	NA	C19082	11217495	(1R,2R,4S)-Limonene-1,2-diol
	(3R)-6-Hydroxy-3-isopropenyl-heptanoate	todo2	C10H18O3	186.125594	NA	C11404	443171	(3R)-6-Hydroxy-3-isopropenyl-heptanoate
	(5R)-6-Hydroxy-5-isopropenyl-2-methylhexanoate	todo2	C10H18O3	186.125594	NA	C11406	443175	(5R)-6-Hydroxy-5-isopropenyl-2-methylhexanoate
	(3S)-6-Hydroxy-3-isopropenyl-heptanoate;;6-Hydroxy-3-isopropenylheptanoate	todo2	C10H18O3	186.125594	NA	C11417	443186	(3S)-6-Hydroxy-3-isopropenyl-heptanoate
	(5S)-6-Hydroxy-5-isopropenyl-2-methylhexanoate	todo2	C10H18O3	186.125594	NA	C11420	443191	(5S)-6-Hydroxy-5-isopropenyl-2-methylhexanoate
	"2-Oxo-9-methylthiononanoic acid;;9-Methylthio-2-nonanoic acid"	todo2	C10H18O3S	218.097665	NA	C17228	44237170	"2-Oxo-9-methylthiononanoic acid"
	"Sebacic acid"	Lipids	C10H18O4	202.120509	HMDB00792	C08277	5192	"Sebacic acid"
x	"2-(5-Methylthio)pentylmalic acid;;2-(5-Methylthio)pentylmalate"	todo2	C10H18O5S	250.087495	NA	C17222	44237334	"Methylthiopentylmalic acid"
x	"3-(5-Methylthio)pentylmalic acid;;3-(5-Methylthio)pentylmalate"	todo2	C10H18O5S	250.087495	NA	C17223	44237179	"Methylthiopentylmalic acid"
	Lupinine	todo2	C10H19NO	169.146664	NA	C10773	91461	Lupinine
	"Carnitine C3:0"	Lipids	C10H19NO4	217.131408	HMDB00824	C03017	107738	"Carnitine C3:0"
	"Glucoputranjivin;;1-Methylethyl glucosinolate"	todo2	C10H19NO9S2	361.050123	NA	C08418	441524	Glucoputranjivin
x	(-)-Menthol;;L-Menthol	todo2	C10H20O	156.151415	HMDB03352	C00400	16666	Menthol
x	(+)-Neomenthol	todo2	C10H20O	156.151415	HMDB22210	C00553	439263	Menthol
x	beta-Citronellol;;(R)-(+)-Citronellol	todo2	C10H20O	156.151415	HMDB21486	C09849	101977	Citronellol
x	(-)-Citronellol	todo2	C10H20O	156.151415	HMDB35094	C11386	7793	Citronellol
	"Capric acid"	Lipids	C10H20O2	172.14633	HMDB00511	C01571	2969	"Capric acid"
	"3-hydroxydecanoic acid"	Lipids	C10H20O3	188.141244	HMDB02203		26612	"3-hydroxydecanoic acid"
	"Geranyl diphosphate"	todo	C10H20O7P2	314.068426	HMDB01285	C00341	445995	"Geranyl diphosphate"
	"(+)-Bornyl-diphosphate;;(+)-Bornyl diphosphate"	todo2	C10H20O7P2	314.068426	NA	C03190	439937	(+)-Bornyl-diphosphate
	"all-trans-Polyprenyl diphosphate;;Polyisopentenylpyrophosphate;;Polyisopentenyldiphosphate;;trans-Polyisopentenyldiphosphate;;Polyprenyl diphosphate"	todo2	C10H20O7P2	314.068426	NA	C05847	445995	"all-trans-Polyprenyl diphosphate"
	Pentahomomethionine	todo2	C10H21NO2S	219.1293	NA	C17229	25010767	Pentahomomethionine
	9-Methylthiononanaldoxime	todo2	C10H21NOS	203.134385	HMDB17771	C17253	25010752	9-Methylthiononanaldoxime
	Spermine	"Amino acids"	C10H26N4	202.215747	HMDB01256	C00750	1103	Spermine
	"Blue pigment;;Nicotine blue;;(E)-2,2,5,5-Tetrahydroxy-6H,6H-[3,3-bipyridinylidene]-6,6-dione"	todo2	C10H6N2O6	250.022586	NA	C16152	54693777	"Blue pigment"
x	1,4-Naphthoquinone;;1,4-Naphthalenedione	todo2	C10H6O2	158.036779	NA	C02617	8530	Naphthoquinone
x	1,2-Naphthoquinone;;1,2-Naphthalenedione	todo2	C10H6O2	158.036779	NA	C14783	10667	Naphthoquinone
	1-Nitrosonaphthalene	todo2	C10H7NO	157.052764	NA	C14788	30767	1-Nitrosonaphthalene
	"Quinaldic acid"	Xenobiotics	C10H7NO2	173.047678	HMDB00842	C06325	7124	"Quinaldic acid"
	1-Nitronaphthalene	todo2	C10H7NO2	173.047678	NA	C14040	6849	1-Nitronaphthalene
	"Kynurenic acid"	"Amino acids"	C10H7NO3	189.042593	HMDB00715	C01717	3845	"Kynurenic acid"
	N-Acetylisatin;;1-Acetylisatin	todo2	C10H7NO3	189.042593	NA	C02172	11321	N-Acetylisatin
x	1-Nitronaphthalene-5,6-oxide	todo2	C10H7NO3	189.042593	NA	C14800	11954051	Nitronaphthalene-7,8-oxide
x	1-Nitronaphthalene-7,8-oxide	todo2	C10H7NO3	189.042593	NA	C14802	11954053	Nitronaphthalene-7,8-oxide
	"Xanthurenic acid"	"Amino acids"	C10H7NO4	205.037508	HMDB00881	C02470	5699	"Xanthurenic acid"
	"6-Hydroxykynurenate;;6-Hydroxykynurenic acid;;4,6-Dihydroxyquinaldic acid"	todo2	C10H7NO4	205.037508	NA	C05663	440752	6-Hydroxykynurenate
	7,8-Dihydroxykynurenate	todo2	C10H7NO5	221.032422	NA	C01111	439403	7,8-Dihydroxykynurenate
	5-(3-Carboxy-3-oxopropenyl)-4,6-dihydroxypicolinate;;5-(3-Carboxy-3-oxopropenyl)-4,6-dihydroxypyridine-2-carboxylate	todo2	C10H7NO7	253.022252	NA	C05641	54675771	5-(3-Carboxy-3-oxopropenyl)-4,6-dihydroxypicolinate
	Naphthalene	todo2	C10H8	128.0626	HMDB16191	C00829	931	Naphthalene
	3-Indoleacetonitrile;;Indol-3-ylacetonitrile;;Indole-3-acetonitrile;;(Indol-3-yl)acetonitrile	todo2	C10H8N2	156.068748	HMDB06524	C02938	351795	3-Indoleacetonitrile
	3,3-Bipyridine-2,2,5,5,6,6-hexol	todo2	C10H8N2O6	252.038236	NA	C20381	57339263	3,3-Bipyridine-2,2,5,5,6,6-hexol
x	2-Naphthol;;beta-Naphthol	todo2	C10H8O	144.057515	HMDB12322	C11713	8663	Naphthol
x	1-Naphthol;;alpha-Naphthol	todo2	C10H8O	144.057515	HMDB12138	C11714	7005	Naphthol
x	"(1R,2S)-Naphthalene 1,2-oxide;;(1R,2S)-Naphthalene epoxide"	todo2	C10H8O	144.057515	NA	C14786	155957	Naphthalene-1,2-oxide
x	"(1S,2R)-Naphthalene 1,2-oxide;;(1S,2R)-Naphthalene epoxide"	todo2	C10H8O	144.057515	NA	C14787	11094749	Naphthalene-1,2-oxide
	Naphthalene-1,2-diol;;1,2-Naphthalenediol;;beta-Naphthohydroquinone;;1,2-Dihydroxynaphthalene	todo2	C10H8O2	160.052429	NA	C03012	11318	Naphthalene-1,2-diol
x	2-Formyl-1-indanone	todo2	C10H8O2	160.052429	NA	C07719	441318	FormylIndanone
x	1-Formyl-2-indanone	todo2	C10H8O2	160.052429	NA	C07726	441323	FormylIndanone
x	1,4-Dihydroxynaphthalene;;1,4-Naphthohydroquinone;;Naphthalene-1,4-diol	todo2	C10H8O2	160.052429	NA	C14785	11305	Dihydroxynaphthalene
x	2,3-Dihydroxynaphthalene	todo2	C10H8O2	160.052429	NA	C16213	7091	Dihydroxynaphthalene
x	"1-Naphthalenesulfonic acid;;Naphthalene-1-sulfonate"	todo2	C10H8O3S	208.019415	NA	C16201	6812	"Naphthalenesulfonic acid"
x	"2-Naphthalenesulfonic acid;;Naphthalene-2-sulfonate"	todo2	C10H8O3S	208.019415	NA	C16202	8420	"Naphthalenesulfonic acid"
	Scopoletin	todo2	C10H8O4	192.042259	HMDB34344	C01752	5280460	Scopoletin
	trans-o-Hydroxybenzylidenepyruvate;;(3E)-4-(2-Hydroxyphenyl)-2-oxobut-3-enoate	todo2	C10H8O4	192.042259	NA	C06203	5280911	trans-o-Hydroxybenzylidenepyruvate
	2-Hydroxychromene-2-carboxylate;;2-Hydroxy-2H-chromene-2-carboxylate	todo2	C10H8O4	192.042259	NA	C06204	584	2-Hydroxychromene-2-carboxylate
	1,2-Dihydroxynaphthalene-6-sulfonate	todo2	C10H8O5S	240.009244	NA	C16196	9543072	1,2-Dihydroxynaphthalene-6-sulfonate
x	"1,6-Naphthalenedisulfonic acid"	todo2	C10H8O6S2	287.97623	NA	C16193	10676	"Naphthalenedisulfonic acid"
x	"2,6-Naphthalenedisulfonic acid"	todo2	C10H8O6S2	287.97623	NA	C16194	11390	"Naphthalenedisulfonic acid"
	(Z)-4-(2-Hydroxy-5-sulfonatophenyl)-2-oxo-3-butenoate	todo2	C10H8O7S	271.999074	NA	C16198	9543075	(Z)-4-(2-Hydroxy-5-sulfonatophenyl)-2-oxo-3-butenoate
	1-Naphthylamine	todo2	C10H9N	143.073499	NA	C14790	8640	1-Naphthylamine
	Indole-3-acetaldehyde;;2-(Indol-3-yl)acetaldehyde;;Indoleacetaldehyde	todo2	C10H9NO	159.068414	HMDB01190	C00637	800	Indole-3-acetaldehyde
	N-Hydroxy-1-aminonaphthalene;;1-Naphthylhydroxylamine	todo2	C10H9NO	159.068414	NA	C14789	11828	HydroxyAminonaphthalene
	"Indole-3-acetate;;Indole-3-acetic acid;;(Indol-3-yl)acetate;;Indoleacetate;;Indoleacetic acid;;IAA"	todo2	C10H9NO2	175.063329	HMDB00197	C00954	802	Indole-3-acetate
	N-Acetylindoxyl;;Acetylindoxyl	todo2	C10H9NO2	175.063329	NA	C02298	439701	N-Acetylindoxyl
	(Indol-3-yl)glycolaldehyde;;3-Indoleglycolaldehyde	todo2	C10H9NO2	175.063329	NA	C03230	439951	(Indol-3-yl)glycolaldehyde
	5-Hydroxyindoleacetaldehyde	todo2	C10H9NO2	175.063329	HMDB04073	C05634	74688	5-hydroxyindoleacetaldehyde
	"5-hydroxyindoleacetic acid"	Xenobiotics	C10H9NO3	191.058243	HMDB00763	C05635	1826	"5-hydroxyindoleacetic acid"
	5-Phenyl-1,3-oxazinane-2,4-dione	todo2	C10H9NO3	191.058243	NA	C16596	21350393	5-Phenyl-1,3-oxazinane-2,4-dione
	4-(2-Aminophenyl)-2,4-dioxobutanoate	todo2	C10H9NO4	207.053158	HMDB00978	C01252	472	4-(2-Aminophenyl)-2,4-dioxobutanoate
	2-Formaminobenzoylacetate	todo2	C10H9NO4	207.053158	NA	C05835	440807	2-Formaminobenzoylacetate
	1-Nitro-5,6-dihydroxy-dihydronaphthalene;;1,2-Dihydro-5-nitro-1,2-naphthalenediol	todo2	C10H9NO4	207.053158	NA	C14801	11954052	1-Nitro-5,6-dihydroxy-dihydronaphthalene
	7,8-Dihydro-7,8-dihydroxykynurenate	todo2	C10H9NO5	223.048072	NA	C01249	439458	7,8-Dihydro-7,8-dihydroxykynurenate
	4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate	todo2	C10H9NO5	223.048072	HMDB04083	C05645	440741	4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate
	4-(2-Amino-5-hydroxyphenyl)-2,4-dioxobutanoate	todo2	C10H9NO5	223.048072	NA	C05652	440746	4-(2-Amino-5-hydroxyphenyl)-2,4-dioxobutanoate
	5-(3-Carboxy-3-oxopropyl)-4,6-dihydroxypicolinate;;5-(gamma-Carboxy-gamma-oxopropyl)-4,6-dihydroxypicolinate	todo2	C10H9NO7	255.037902	NA	C05656	54675774	5-(3-Carboxy-3-oxopropyl)-4,6-dihydroxypicolinate
	"Di[3-deoxy-D-manno-octulosonyl]-lipid A;;KDO2-lipid A;;alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid A;;Dodecanoyl-(tetradecanoyl)-KDO2-lipid IV(A)"	todo2	C110H202N2O39P2	2237.335998	NA	C06026	11355423	"Di[3-deoxy-D-manno-octulosonyl]-lipid A"
x	1-Methylnaphthalene;;alpha-Methylnaphthalene	todo2	C11H10	142.07825	HMDB32860	C14082	7002	Methylnaphthalene
x	2-Methylnaphthalene;;beta-Methylnaphthalene	todo2	C11H10	142.07825	NA	C14098	7055	Methylnaphthalene
	1-Hydroxymethylnaphthalene;;1-Naphthalenemethanol	todo2	C11H10O	158.073165	NA	C14089	20908	Hydroxymethylnaphthalene
	1,2-Dihydroxy-8-methylnaphthalene	todo2	C11H10O2	174.06808	NA	C14084	656869	1,2-Dihydroxy-8-methylnaphthalene
	1,2-Dihydroxy-7-hydroxymethylnaphthalene	todo2	C11H10O3	190.062994	NA	C14105	656879	1,2-Dihydroxy-7-hydroxymethylnaphthalene
	2-Hydroxy-8-methylchromene-2-carboxylate	todo2	C11H10O4	206.057909	NA	C14085	656870	2-Hydroxy-8-methylchromene-2-carboxylate
	2-Hydroxy-3-methylbenzalpyruvate	todo2	C11H10O4	206.057909	NA	C14086	9543158	2-Hydroxy-3-methylbenzalpyruvate
	cis-1,2-Dihydroxy-1,2-dihydro-8-carboxynaphthalene	todo2	C11H10O4	206.057909	NA	C14092	656872	cis-1,2-Dihydroxy-1,2-dihydro-8-carboxynaphthalene
	2-succinylbenzoate	todo	C11H10O5	222.052823		C02730	955	2-succinylbenzoate
	2-Hydroxy-7-hydroxymethylchromene-2-carboxylate	todo2	C11H10O5	222.052823	NA	C14106	656880	2-Hydroxy-7-hydroxymethylchromene-2-carboxylate
	2-Hydroxy-4-hydroxymethylbenzalpyruvate	todo2	C11H10O5	222.052823	NA	C14107	9543063	2-Hydroxy-4-hydroxymethylbenzalpyruvate
	"Isoniazid alpha-ketoglutaric acid"	todo2	C11H11N3O5	265.06987	NA	C16625	9576951	"Isoniazid alpha-ketoglutaric acid"
	"Indole-3-lactic acid"	"Amino acids"	C11H11NO	173.084064	HMDB00671	C02043	92904	"Indole-3-lactic acid"
	"Indole-3-propionic acid"	"Amino acids"	C11H11NO2	189.078979	HMDB02302		3744	"Indole-3-propionic acid"
	"Methylindole-3-acetic acid"	"Amino acids"	C11H11NO2	189.078979	HMDB29738		589107	"Methylindole-3-acetic acid"
	"5-Methoxyindoleacetate;;5-Methoxyindoleacetic acid"	todo2	C11H11NO3	205.073893	HMDB04096	C05660	18986	5-methoxyindoleacetate
	Tryptophan	"Amino acids"	C11H12N2O2	204.089878	HMDB00929	C00078	6305	Tryptophan
	5-hydroxytryptophan	"Amino acids"	C11H12N2O3	220.084792	HMDB00472	C00643;C01017	144	5-hydroxytryptophan
	Formylkynurenine	todo	C11H12N2O4	236.079707		C02700	439788	Formylkynurenine
	5-Hydroxy-N-formylkynurenine;;5-Hydroxy-N-formyl-L-kynurenine	todo2	C11H12N2O5	252.074621	HMDB04086	C05648	9548588	5-hydroxyformylkynurenine
	Heteropyrithiamine;;1-[(4-Amino-2-methylpyrimidin-5-yl)methyl]pyridinium	todo2	C11H12N4	200.106196	NA	C02691	439786	Heteropyrithiamine
x	cis-1,2-Dihydroxy-1,2-dihydro-8-methylnaphthalene	todo2	C11H12O2	176.08373	NA	C14083	656868	Dihydroxydihydromethylnaphthalene
x	cis-1,2-Dihydroxy-1,2-dihydro-7-methylnaphthalene	todo2	C11H12O2	176.08373	NA	C14102	656877	Dihydroxydihydromethylnaphthalene
	"5,6,7,8-Tetrahydro-2-naphthoic acid"	todo2	C11H12O2	176.08373	NA	C14111	70804	"5,6,7,8-Tetrahydro-2-naphthoic acid"
	cis-1,2-Dihydroxy-1,2-dihydro-7-hydroxymethylnaphthalene	todo2	C11H12O3	192.078644	NA	C14104	656878	cis-1,2-Dihydroxy-1,2-dihydro-7-hydroxymethylnaphthalene
	"Coumaryl acetate"	todo2	C11H12O3	192.078644	NA	C20465	14320459	"Coumaryl acetate"
	Benzylsuccinate	todo	C11H12O4	208.073559	HMDB12127	C09816	444797	Benzylsuccinate
	"Sinapoyl aldehyde"	todo	C11H12O4	208.073559		C05610	5280802	"Sinapoyl aldehyde"
	"Sinapate;;Sinapic acid;;3,5-Dimethoxy-4-hydroxycinnamic acid"	todo2	C11H12O5	224.068473	HMDB32616	C00482	637775	Sinapate
x	"2-Benzylmalic acid;;2-Benzylmalate"	todo2	C11H12O5	224.068473	NA	C20653	11229827	"Benzylmalic acid"
x	"3-Benzylmalic acid;;3-Benzylmalate"	todo2	C11H12O5	224.068473	NA	C20654	22022900	"Benzylmalic acid"
	SHCHC	todo	C11H12O6	240.063388		C05817	5287432	SHCHC
	Phenylpropionylglycine	"Amino acids"	C11H13NO3	207.089543	HMDB00860		152323	Phenylpropionylglycine
x	N-Acetyl-L-phenylalanine	todo2	C11H13NO3	207.089543	HMDB00512	C03519	74839	N-acetylphenylalanine
x	N-Acetyl-D-phenylalanine	todo2	C11H13NO3	207.089543	NA	C05620	101184	N-acetylphenylalanine
	N-Methyltryptamine;;N-Methylindoleethylamine;;1-Methyl-2-(3-indolyl)ethylamine	todo2	C11H14N2	174.115698	HMDB04370	C06213	6088	N-methyltryptamine
	5-Methoxytryptamine;;5-MeOT	todo2	C11H14N2O	190.110613	HMDB04095	C05659	1833	5-methoxytryptamine
	N-Methylserotonin	todo2	C11H14N2O	190.110613	HMDB04369	C06212	150885	Methylserotonin
	Cytisine	todo2	C11H14N2O	190.110613	NA	C10763	442949	Cytisine
	S-(Phenylacetothiohydroximoyl)-L-cysteine	todo2	C11H14N2O3S	254.072513	NA	C17237	25246415	S-(Phenylacetothiohydroximoyl)-L-cysteine
	Felbamate	todo2	C11H14N2O4	238.095357	HMDB15084	C07501	3331	Felbamate
	S-(Hydroxyphenylacetothiohydroximoyl)-L-cysteine	todo2	C11H14N2O4S	270.067428	NA	C17238	46173869	S-(Hydroxyphenylacetothiohydroximoyl)-L-cysteine
	"Nicotinamide riboside"	"Cofactors and vitamins"	C11H14N2O5	254.090272	HMDB00855	C03150	439924	"Nicotinamide riboside"
x	2-Hydroxyfelbamate	todo2	C11H14N2O5	254.090272	NA	C16582	10400039	Hydroxyfelbamate
x	p-Hydroxyfelbamate	todo2	C11H14N2O5	254.090272	NA	C16584	9921310	Hydroxyfelbamate
	5-S-Methyl-5-thioinosine;;5-Deoxy-5-methylthioinosine;;S-Methyl-5-thioinosine	todo2	C11H14N4O4S	298.073576	NA	C19787	161214	Methylthioinosine
	7-Methylxanthosine	todo2	C11H14N4O6	298.091334	NA	C16352	23724732	Methylxanthosine
	"Nicotinate riboside"	"Cofactors and vitamins"	C11H14NO6	256.082112	HMDB06809	C05841	161233	"Nicotinate riboside"
	"Indoleglycerol phosphate"	todo	C11H14NO6P	287.055874		C03506	444150	"Indoleglycerol phosphate"
	NAMN	"Cofactors and vitamins"	C11H14NO9P	335.040618	HMDB01132	C01185	5288991	NAMN
x	"Methyleugenol;;O-Methyleugenol;;Eugenol methyl ether"	todo2	C11H14O2	178.09938	HMDB18429	C10454	7127	Methyleugenol
x	Methylisoeugenol;;trans-Methylisoeugenol;;Isomethyleugenol	todo2	C11H14O2	178.09938	HMDB28580	C10478	637776	Methyleugenol
	"3-hydroxyphenylvaleric acid"	Xenobiotics	C11H14O3	194.094294	HMDB41666		10559720	"3-hydroxyphenylvaleric acid"
	"Butyl salicylic acid"	Xenobiotics	C11H14O3	194.094294	HMDB40730		16330	"Butyl salicylic acid"
	"Sinapyl alcohol"	todo	C11H14O4	210.089209	HMDB13070	C02325	5280507	"Sinapyl alcohol"
	NMN	"Cofactors and vitamins"	C11H15N2O8P	334.056602	HMDB00229	C00455	14180	NMN
	"6-Methylthiopurine 5-monophosphate ribonucleotide;;6-Methylthioinosine-5-monophosphate"	todo2	C11H15N4O7PS	378.039906	NA	C16615	10091038	"6-Methylthiopurine 5-monophosphate ribonucleotide"
	5-methylthioadenosine	"Amino acids"	C11H15N5O3S	297.08956	HMDB01173	C00170	439176	5-methylthioadenosine
	N1-methyladenosine	Nucleotides	C11H15N5O4	281.112404	HMDB03331	C02494	27476	N1-methyladenosine
	N1-methylguanosine	Nucleotides	C11H15N5O5	297.107319	HMDB01563	C04545	96373	N1-methylguanosine
	Succinyl-2-aminooxoheptanedioate	todo	C11H15NO8	289.079766	HMDB12266	C04462	440349	Succinyl-2-aminooxoheptanedioate
